School ID,School Name,City,State,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested
32K556,Bushwick Leaders High School for Academic Excellence,Brooklyn,NY,317,0.30%,16.70%,81.40%,0.90%,393,368,382,46.80%
32K554,All City Leadership Secondary School,Brooklyn,NY,358,1.70%,14.60%,77.00%,6.20%,467,446,448,85.00%
32K552,Academy of Urban Planning,Brooklyn,NY,279,0.70%,23.30%,73.80%,0.70%,392,374,379,41.90%
32K549,Bushwick School for Social Justice,Brooklyn,NY,405,2.50%,20.50%,76.00%,0.50%,365,357,357,50.00%
32K545,EBC High School for Public Service in Bushwick,Brooklyn,NY,514,0.20%,8.00%,90.70%,0.40%,389,374,378,50.00%
32K403,Academy for Environmental Leadership,Brooklyn,NY,340,1.50%,19.40%,77.10%,1.80%,365,366,348,71.30%
31R605,Staten Island Technical High School,Staten Island,NY,1247,52.20%,1.00%,5.20%,41.10%,711,660,670,99.70%
31R600,Ralph R. McKee Career and Technical Education High School,Staten Island,NY,624,19.70%,30.80%,42.50%,4.80%,420,429,409,38.00%
31R460,Susan E. Wagner High School,Staten Island,NY,3363,47.70%,10.90%,27.00%,13.40%,496,490,487,66.30%
31R455,Tottenville High School,Staten Island,NY,3982,79.90%,1.80%,11.80%,5.10%,494,476,476,78.90%
31R450,Curtis High School,Staten Island,NY,2499,17.70%,38.40%,36.00%,7.10%,453,458,444,64.20%
31R445,Port Richmond High School,Staten Island,NY,1628,21.70%,27.90%,42.80%,7.00%,432,427,425,44.60%
31R440,New Dorp High School,Staten Island,NY,2791,51.80%,12.10%,27.80%,7.50%,454,446,444,63.70%
31R080,Michael J. Petrides School,Staten Island,NY,1327,49.80%,22.30%,20.20%,6.90%,483,473,470,79.20%
31R064,Gaynor McCown Expeditionary Learning School,Staten Island,NY,479,61.60%,13.80%,19.00%,3.30%,442,458,454,55.80%
31R047,CSI High School for International Studies,Staten Island,NY,520,55.60%,8.80%,19.80%,11.20%,477,468,464,83.50%
30Q580,Baccalaureate School for Global Education,Astoria,NY,478,34.50%,2.50%,21.20%,39.60%,633,620,628,98.50%
30Q575,Academy of American Studies,Long Island City,NY,874,28.30%,7.30%,34.30%,29.30%,495,482,479,84.80%
30Q555,Newcomers High School,Long Island City,NY,993,6.20%,2.40%,54.60%,36.70%,490,374,381,47.10%
30Q502,Information Technology High School,Long Island City,NY,970,9.40%,14.90%,56.30%,18.20%,443,420,411,58.80%
30Q501,Frank Sinatra School of the Arts High School,Astoria,NY,808,38.70%,13.60%,33.40%,10.50%,536,543,543,89.50%
